USDOT Number,Legal Name,DBA Name,pv_apcant_id
,A-1 EXPRESS CHARTERED BUS SERVICE INC,,121569
889700,A-1 LINE INC,,299593
2244258,A-1 LOGISTICS LLC,,593706
581019,A-1 MESSENGER INC,,191661
602577,A-1 PALLET CO OF CLARKSVILLE INC,,319954
,A-1 PALLET TRUCKING INC,,1066543
3203119,A-1 PALLET TRUCKING INC,,1066544
1841314,A-1 TOWING LLC,,585005
,A-1 TOWING LLC,,585006
1103016,A-AFFORDABLE INC,A-AFFORDABLE LIMOUSINE SERVICE,369752
1161379,A-B DIVERSIFIED LLC,,384062
1869899,A-L EXPRESS LLC,,593089
702970,A-LINE MOVERS INC,,235999
1187817,A-LINE TRANSPORTATION INC,,385772
,A-MASS TOWING LLC,,358468
798344,A-ONE TOWING & AUTO REPAIR LLC,,631055
2215435,A-PLUS BROKERAGE INC,,64956
857864,A-PLUS TOWING & SERVICE INC,,398959
2869594,A-PLUS TRANSPORT CORP,,882816
785096,A-PLUS TRANSPORTATION INC,,261985
2470424,A-TEAM DELIVERIES LLC,,772116
3034471,A-TEAM DELIVERY LLC,,964602
,A-TEAM MOLD LLC,ATEAM MOLD,1069846
2971743,A-TRAN DELIVERY SERVICE INC,,35709
2920729,A-Z LOGISTICS INC,,907032
2589320,A-Z NATIONWIDE TRANSPORT INC,,824436
2778509,A-Z SHED TRANSPORTATION LLC,,844270
2640285,A-Z TRANSPORT LLC,,839378
957264,A AND A WILLIAMS DELIVERIES INC,,322290
125568,A B C COACH LINES INC,,105165
458320,A BLAIR ENTERPRISES INC,,48307
3051590,A BROWN MANAGEMENT GROUP LLC,4 BROTHERS TRUCKING,973690
,A C E INTERNATIONAL SHIPPER CORP,,64903
250389,A C MILLER LLC,,206355
250389,A C MILLER LTD,,24737
268681,A H YOCHUM,A H YOCHUM TRUCKING,165934
535913,A J G INC,AMERICAN LIMOUSINE,42360
271702,A J HOPE ENTERPRISES INC,,146537
315108,A J WENDT & SON INC,,112648
2223536,A JOHNSON ENTERPRISES INC,,238220
,A L D EXPRESS INC,,141516
570159,A L RODDEL ENTERPRISE INC,,87527
170286,A LINE INC,,1965
953445,A M EXPRESS OF SOUTH BEND INC,,320094
209716,A M EXPRESS INC,,17198
164127,A M RISHER TRUCKING INC,,118967
319081,A M TRANSPORT INC,,43558
187025,A R CARRIRS INC,,123443
390642,A T L INC,,55205
348536,A V OF TERRE HAUTE INC,ACE CAB COMPANY AND VIGO COUNTY CAB COMPANY,169413
,AB & K TRUCKING INC,,12740
,AB & K TRUCKING INC,,121811
1306959,ADT GROUP  SERVICE LLC,,420868
705276,AF OHAB COMPANY INC,,246978
626656,AG & MOORE ENTEPRISES INC,,210821
2828326,AIM LOGISTICS INC,AIM LOGISTICS,864508
,AJ TRUCKING INC,,374465
708854,AMS MOTOR SERVICE COMPANY,,238341
3229983,AT TRUCKING LLC,,1081506
268154,AVL TRANSPORTATION LLC,,22449
1486485,A/T TRANSPORTATION LLC,,474883
1826718,A1 AUTO ENTERPRISES INC,A1 AUTO LOGISTICS,579925
2887852,A1 AUTO TRANSPO INC,,890973
2325681,A1 BROKERAGE LLC,,710093
3154144,A1 CONNEXXIONS INC,,1039674
2901474,A1 DOMESTIC TRANSPORTATION INC,,897737
,A1 ENTERPRISE TRANSPORTATION LLC,,880218
3148951,A1 GLOBAL LOGISTICS INC,,1036907
,A1 PORTA POTTY LLC,,901225
1608341,A1 TOWING AND RECOVERY SERVICE LLC,,515701
2864603,A1 TRANSPORT LLC,,880590
,A1 TRUX EXPRESS LLC,,814683
,A1 TRUX EXPRESS LLC,,814684
2565713,A1 TRUX EXPRESS LLC,,814682
3062786,A2B EXPRESS INC,,980006
1464922,A2B TRANSPORT LLC,,468247
1976502,A2B TRANSPORTATION LLC,,616934
1912773,A2Z AUTO TRANSPORTERS & TOWING LLC,,603216
2790101,A2Z LOGISTICS CORP,,850123
2499212,A2Z XPRESS LLC,A2Z XPRESS,784262
2525840,A3P LOGISTICS GROUP LLC,,795821
3073279,A3P LOGISTICS GROUP LLC,A3P BROKERAGE,963783
3222139,AA CARRIERS LLC,,1077179
3060385,AA TRANSPORTATION LLC,,978593
2180993,AA TRUCKING,,675126
914921,AA TRUCKING INC,,307783
2485414,AAA EXPRESSWAY LLC,,778509
527893,AAA FREIGHT LINES INC,,24636
640896,AAA INTERSTATE TRANSPORTATION LLC,,213788
,AAA MOVING & STORAGE INC,,132514
3105924,AAA MUNOZ MASONRY LLC,,1013622
3156537,AAA TRANS INC,,1041052
1877257,AAA TRANSPORT INC,,594902
669257,AAA TRUCKING INCORPORATED,,223933
708322,AAACTION TRANSPORTATION INC,,238620
3003129,AAAT&T LLC,,948256
2229520,AABLE LOGISTICS INC,,348915
739776,AACTTN INC,,167475
2142216,AAG TRUCKING LLC,,662591
,AAL TRANSPORT INC,,963847
283109,AALL-RITE EXPRESS INC,,156960
,AARON BRYANT HOMAN,TWIN POWER TRANSPORT,670643
2168579,AARON BRYANT HOMAN,TWIN POWER TRANSPORT,670644
2383473,AARON BUDREAU FARMS LLC,,735918
1529516,AARON DEBRAH,A & A MOTORS,489218
,AARON FORWARDING INC,,651613
2576719,AARON M HANNA,,820329
1687762,AARON M WOODS,AARON WOODS TRUCKING,536175
849781,AARON M BODE,,299761
1141628,AARON RINK,AARON RINK TRUCKING,543344
2567297,AB EXPEDITED INC,,815538
2880945,AB LOGISTIC SOLUTION LLC,,887893
2482677,AB TRANSPORT LLC,,777307
3234999,AB-DELIVERY LLC,,1084120
2356900,ABA FREIGHT INC,,717537
3174863,ABA LOGISTICS CORP,,1051587
2348424,ABA'S PATH LOGISTICS LLC,,720465
2304907,ABB2 LLC,,734065
535210,ABBOTT TRUCKING INC,,100932
3100954,ABBY LOGISTICS LLC,,1010867
,ABC EXCAVATING AND LANDSCAPING INC,,539404
759463,ABC TOWING CORP,,361861
2181774,ABC TOWING INC,,698370
1832476,ABC TRANS LLC,,581684
2172663,ABC TRANSPORTATION SERVICE LLC,,671934
226397,ABC TRUCKING COMPANY INC,,18776
3157316,ABDULLAHI A YUSUF,AFRO,1041506
1926019,ABE TRANSPORT INC,,606428
2182990,ABEGAIL R BAHAM,A BAHAM TRUCKING,675350
2305303,ABG RENTALS & MOTORSPORTS LLC,,705581
1272202,ABG TRUCKING LLC,,409700
3055284,ABI CONSULTING LLC,,975698
2272980,ABID PONJEVIC,BINA TRUCKING,693992
2164601,ABL LOGISTICS LLC,,671159
,ABLE AMBULANCE INC,,682086
,ABLE EXPRESS INC,,113453
2970970,ABLE TO ASSIST TRANSPORTATION LLC,ABLE TO ASSIST TRANSPORTATION LLC,933007
173883,ABLE TRUCKING INC,,121881
804482,ABLE VAN LINES INC,,269474
1085778,ABN TRANSPORT LLP,,358703
3027736,ABOUT FACED LLC,,961079
3083694,ABOUT TIME TOWING LLC,,1001281
2936869,ABOVE & BEYOND XPRESS INC,,915496
,ABOVE AND BEYOND SERVICES INC,ABOVE & BEYOND LIMOUSINE SERVICES INC,943013
3028769,ABOVE THE BEST MOVERS AND CLEANERS LLC,,961583
827085,ABOVE-ALL GROUP INC,,278525
547275,ABOVE-ALL LIMO GROUP INC,,82700
377915,ABRAHAM A HAKIM,INTERNATIONAL LIMOUSINE SERVICES,53024
,ABRAHAM MARTIN,MARTIN TRANSPORT,297061
181952,ABRAMS TRUCKING INC,,131330
3213215,ABSD TRANSPORT INC,,1072091
1983703,ABSOLUTE DISPOSAL & RECYCLING LLC,,618740
2243761,ABSOLUTE FREIGHT MANAGEMENT INC,,586031
,ABSOLUTE MEDICAL WASTE LLC,,863143
2944385,ABSOLUTE TRUCKING AND LEASING INC,,919303
2309244,ABSOLUTE TRUCKING CO INC,,725506
3034645,ABSOLUTE TRUCKING LLC,,964689
1076819,ABT TRANSPORT LLC,,746890
753511,ABUV ONE LOGISTICS INC,,252010
2956967,AC TOWING LLC,,925496
2400978,AC TRANSPORT INC,,762456
3156399,ACACIA RECYCLING TECHNOLOGIES LLC,DRD LOGISTICS,1040971
3156399,ACACIA RECYCLING TECHNOLOGIES LLC,DRD LOGISTICS,1040972
784107,ACCELERATED AG DISTRIBUTION LLC,,698850
504695,ACCELERATED EXPRESS CORPORATION,,73705
2474857,ACCELERATED INTERNATIONAL FORWARDERS LLC,,764166
,ACCELERATED INTERNATIONAL FORWARDERS LLC,,764167
2474857,ACCELERATED INTERNATIONAL FORWARDERS LLC,,265415
1546628,ACCELERATED LOGISTICS INC,,490212
1855019,ACCENT TECHNOLOGIES INC,,588846
2237371,ACCESS LOGISTICS INC,,491732
1382282,ACCORD MOVING LLC,,441021
,ACCU-TEMP TRANSPORTATION INC,,169210
2638590,ACCUPRINT OF KENTUCKIANA INC,,838577
1208184,ACCURATE BUILDING SUPPLY LLC,,423918
